NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
05090604,1,74,72,2023,2022,2,.00000,.00000,2,.00000,.00000,34,D,.00000,.00000,0,D,0,D,0,D,2589,D,38038,D,0,D,0,D,2500,D,234,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639,2639,0,0,0,0,0,0,25500,25500,0,0,0,0,0,0,0
05090624,1,87,0,2023,2022,0,.00000,.00000,1,.00000,.00000,0,T,.00000,.00000,0,D,0,D,0,D,0,D,13787,D,0,D,2400,D,0,D,6,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05090634,1,58,0,2023,2022,0,.00000,.00000,1,.24000,.24000,05,D,.10250,.10250,135000,D,0,D,0,D,0,D,0,D,0,D,0,D,4400,D,340,D,0,D,0,D,0,D,0,D,6828,D,20397,7544,20397,20397,7610,7346,20397,20397,10328,10328,0,0,0,0,0,0,0,0,0,0,0,0,120672,120672,110672,110672,0,0,0,0,5202,5202,118264,110200,0,0,0,0,0
05090664,1,55,52,2023,2022,0,.00000,.00000,2,.12000,.12000,19,D,.03500,.03500,62973,D,0,D,0,D,0,D,0,D,0,D,0,D,1200,D,130,D,0,D,0,D,0,D,0,D,5552,D,3552,1489,3606,3390,1499,1458,3606,3390,4817,4817,0,0,0,0,0,0,0,0,0,0,0,0,59373,59373,33473,31673,0,0,9000,9000,0,0,50373,46447,0,0,0,0,0
05090674,1,31,31,2023,2022,1,.00000,.00000,2,.10000,.10000,29,D,.00000,.00000,34000,D,1500,D,0,D,0,D,0,D,0,D,17400,D,0,D,159,D,0,D,0,D,0,D,0,D,0,D,415,0,460,280,0,0,960,780,2716,2716,17400,17400,0,0,500,500,0,0,0,0,0,0,35500,35500,9600,7800,0,0,0,0,0,0,0,0,0,0,0,0,0
05090694,1,53,0,2023,2022,2,.00000,.00000,1,.12000,.12000,0,T,.00000,.00000,55000,D,0,D,0,D,0,D,0,D,0,D,0,D,3500,D,9,D,0,D,0,D,1,D,1,D,4932,D,1437,0,1479,1311,0,0,3979,3811,4208,4208,0,0,0,0,2500,2500,0,0,0,0,0,0,55000,55000,35600,34200,0,0,0,0,0,0,0,0,0,0,0,0,0
05090694,2,22,0,2023,2022,0,.00000,.00000,8,.00000,.00000,0,T,.00000,.00000,7695,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,589,589,0,0,0,0,0,0,0,0,0,0,0,0,7695,7695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05090704,1,57,53,2023,2022,0,.00000,.00000,2,.22000,.22000,47,D,.05750,.05750,144989,D,0,D,0,D,0,D,0,D,0,D,0,D,1700,D,0,D,0,D,0,D,0,D,0,D,1708,D,17335,7030,17434,17038,7052,6961,17434,17038,11092,11092,0,0,0,0,0,0,0,0,0,0,0,0,144989,144989,119089,117289,0,0,1860,1860,16000,16000,127129,117543,0,0,0,0,0
05090724,1,21,0,2023,2022,0,.00000,.00000,1,.10000,.10000,31,D,.01400,.01400,17000,D,0,D,0,D,0,D,0,D,0,D,8400,D,0,D,334,D,0,D,0,D,0,D,0,D,0,D,383,173,405,315,174,169,405,315,1301,1301,8400,8400,0,0,0,0,0,0,0,0,0,0,17000,17000,4050,3150,0,0,1000,1000,0,0,16000,14876,50,50,0,0,0
05090764,1,81,75,2023,2022,2,.00000,.00000,2,.00000,.00000,05,D,-.0647,-.0647,0,D,0,D,0,D,0,D,11343,D,0,D,24000,D,0,D,1031,D,0,D,0,D,0,D,0,D,3392,D,0,0,0,0,0,0,0,0,0,0,24000,24000,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,10404,10404,0,0,0,0,0,0,0
