NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
05235014,1,24,0,2023,2022,0,.00000,.00000,1,.22000,.22000,33,D,.05850,.06250,90000,D,0,D,0,D,0,D,0,D,0,D,14400,D,0,D,1702,D,0,D,0,D,0,D,0,D,1500,D,12304,4517,12436,12238,4551,4500,12436,12238,6885,6885,14400,14400,0,0,0,0,0,0,0,0,0,0,89400,89400,76450,75550,0,0,0,0,8000,8000,81400,75489,0,0,0,0,0
05235054,1,31,35,2023,2022,2,.00000,.00000,2,.22000,.22000,33,D,.07430,.05850,82000,D,83000,D,0,D,0,D,0,D,0,D,0,D,4200,D,400,D,0,D,2,D,2,D,2,D,14620,D,16362,8114,16626,16230,8257,8042,20626,20230,12623,12623,0,0,0,0,4000,4000,0,0,0,0,0,0,159500,159500,133600,131800,0,0,2000,2000,16050,16050,138280,129666,0,0,0,0,0
05235084,1,57,51,2023,2022,1,.00000,.00000,2,.24000,.24000,22,D,.04300,.04300,130131,D,88287,D,2266,D,0,D,0,D,0,D,0,D,5700,D,890,D,0,D,0,D,1,D,1,D,4428,D,32131,8865,32419,31987,8893,8851,34419,33987,16709,16709,0,0,0,0,2000,2000,0,0,0,0,0,0,220684,220684,194784,192984,0,0,9800,9800,0,0,202884,188293,0,0,0,0,0
05235104,1,40,0,2023,2022,2,.00000,.00000,1,.31060,.33060,34,D,.05320,.05320,34939,D,0,D,0,D,0,D,0,D,0,D,7200,D,0,D,0,D,0,D,2,D,2,D,2,D,0,D,-6123,416,-5534,-6418,480,384,1512,1364,2673,2673,7200,7200,0,0,1512,1364,2488,2636,0,0,3045,3782,34439,34439,15039,13639,0,0,0,0,19125,19125,9610,7181,0,0,0,0,0
05235144,1,20,0,2023,2022,0,.00000,.00000,1,.10000,.10000,44,D,.00000,.00000,20000,D,0,D,0,D,0,D,0,D,0,D,0,D,2000,D,0,D,0,D,0,D,0,D,0,D,1440,D,645,0,705,615,0,0,705,615,1530,1530,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,7050,6150,0,0,0,0,0,0,0,0,0,0,0,0,0
05235144,2,43,43,2023,2022,2,.00000,.00000,2,.12000,.12000,44,D,.00000,.00000,23000,D,57000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2,D,2,D,2,D,0,D,1937,0,2081,1865,0,0,6081,5865,6120,6120,0,0,0,0,4000,4000,0,0,0,0,0,0,80000,80000,54100,52300,0,0,0,0,0,0,0,0,0,0,0,0,0
05235194,1,25,56,2023,2022,3,.00000,.00000,2,.10000,.10000,28,D,.03510,.03510,43000,D,0,D,0,D,0,D,0,D,0,D,0,D,7000,D,0,D,0,D,0,D,0,D,0,D,15816,D,90,164,210,30,191,150,1710,1530,3290,3290,0,0,0,0,1500,1500,0,0,0,0,0,0,43000,43000,17100,15300,0,0,0,0,14700,14700,28300,25457,0,0,0,0,0
05235194,3,23,0,2023,2022,0,.00000,.00000,8,.00000,.10000,28,D,.00000,.10000,13000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2,2,5,0,5,0,5,0,995,995,0,0,0,0,0,0,0,0,0,0,0,0,13000,13000,50,0,0,0,0,0,7350,7350,5650,4790,0,0,0,0,0
05235244,1,46,0,2023,2022,0,.00000,.00000,1,.12000,.12000,10,D,.00000,.00000,52000,D,0,D,0,D,0,D,0,D,0,D,13800,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,4409,0,4481,4373,0,0,4481,4373,3978,3978,13800,13800,0,0,0,0,0,0,0,0,0,0,52000,52000,39050,38150,0,0,0,0,0,0,0,0,0,0,0,0,0
05235264,1,25,26,2023,2022,3,.00000,.00000,2,.33060,.12000,0,T,.00000,.00000,0,D,63243,D,0,D,0,D,0,D,0,D,0,D,4500,D,8936,D,0,D,3,D,3,D,3,D,10616,D,-2093,0,-1930,-2175,0,0,4070,3854,4838,4838,0,0,0,0,4070,3854,1930,2146,0,0,0,29,63243,63243,37343,35543,0,0,0,0,0,0,0,0,0,0,0,0,0
