NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
05251754,1,39,39,2023,2022,3,.00000,.00000,2,.12000,.12000,0,T,.00000,.00000,60000,D,0,D,0,D,0,D,0,D,0,D,0,D,500,D,0,D,0,D,0,D,0,D,2,D,4300,D,2019,0,2181,1965,0,0,3681,3465,4590,4590,0,0,0,0,1500,1500,0,0,0,0,0,0,60000,60000,34100,32300,0,0,0,0,0,0,0,0,0,0,0,0,0
05251764,1,34,34,2023,2022,1,.00000,.00000,2,.32000,.32000,24,D,.10490,.10490,308789,D,79192,D,0,D,0,D,0,D,0,D,0,D,5200,D,412,D,6320,D,1,D,1,D,1,D,15096,D,73297,27329,73729,73153,28004,27105,76329,75753,19650,20059,0,0,0,0,2000,2000,0,0,600,600,0,0,387981,387981,362081,360281,0,0,1916,2819,20509,21278,365557,338232,0,0,0,0,0
05251784,1,65,0,2023,2022,0,.00000,.00000,1,.00000,.00000,05,D,-.0647,-.0647,0,D,0,D,0,D,0,D,0,D,0,D,0,D,4600,D,320,D,0,D,0,D,0,D,0,D,4056,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450,4450,0,0,0,0,0,0,5202,5202,0,0,0,0,0,0,0
05251854,1,49,0,2023,2022,0,.00000,.00000,1,.22000,.22000,48,D,.00000,.00000,78000,D,0,D,0,D,0,D,0,D,0,D,20000,D,0,D,150,D,0,D,0,D,0,D,0,D,240,D,8815,0,8964,8766,0,0,8964,8766,5967,5967,20000,20000,0,0,0,0,0,0,0,0,0,0,73616,73616,60666,59766,0,0,0,0,0,0,0,0,0,0,0,0,0
05251854,2,16,0,2023,2022,0,.00000,.00000,8,.00000,.00000,48,D,.00000,.00000,4800,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,367,367,0,0,0,0,0,0,0,0,0,0,0,0,4800,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05251874,1,42,0,2023,2022,0,.00000,.00000,1,.22000,.22000,19,D,.04250,.04250,64000,D,0,D,0,D,0,D,0,D,0,D,0,D,1200,D,0,D,0,D,0,D,0,D,0,D,0,D,6436,1969,6584,6386,2005,1957,6584,6386,4896,4896,0,0,0,0,0,0,0,0,0,0,0,0,62800,62800,49850,48950,0,0,4500,4500,0,0,58300,54148,0,0,0,0,0
05251884,1,51,0,2023,2022,0,.00000,.00000,1,.22000,.22000,48,D,.00000,.00000,90000,D,0,D,0,D,0,D,0,D,0,D,0,D,9500,D,40,D,0,D,0,D,0,D,0,D,16440,D,8632,0,8632,8632,0,0,8632,8632,6885,6885,0,0,0,0,0,0,0,0,0,0,0,0,69160,69160,59160,59160,0,0,0,0,0,0,0,0,0,0,0,0,0
05251904,1,27,32,2023,2022,0,.00000,.00000,2,.12000,.12000,19,D,.03500,.03500,41540,D,26258,D,0,D,0,D,0,D,0,D,12100,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,4455,1763,4617,4401,1794,1753,4617,4401,5187,5187,12100,12100,0,0,0,0,0,0,0,0,0,0,67798,67798,41898,40098,0,0,9000,9000,0,0,58798,54315,0,0,0,0,0
05251954,1,53,0,2023,2022,3,.00000,.00000,1,-.0765,-.0765,10,D,.00000,.00000,1800,D,0,D,0,D,0,D,0,D,0,D,18000,D,0,D,180,D,0,D,0,D,0,D,0,D,70,D,-138,0,-138,-138,0,0,0,0,138,138,18000,18000,0,0,0,0,0,0,0,0,138,138,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05251984,1,64,67,2023,2022,3,.00000,.00000,2,.22000,.22000,05,D,.10250,.10250,28000,D,58131,D,0,D,0,D,0,D,0,D,0,D,8900,D,235,D,0,D,0,D,0,D,0,D,22972,D,24036,6444,24036,24036,6924,6284,25536,25536,6589,6589,0,0,0,0,1500,1500,0,0,0,0,0,0,165918,165918,155918,155918,0,0,0,0,10404,10404,162795,151438,0,0,0,0,0
