NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
05286244,1,67,0,2023,2022,0,.00000,.00000,1,.00000,.00000,34,D,.00000,.00000,0,D,0,D,0,D,1800,D,0,D,0,D,17280,D,0,D,65,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,17280,17280,0,0,0,0,0,0,0,0,0,0,3908,3908,0,0,0,0,0,0,12750,12750,0,0,0,0,0,0,0
05286294,1,59,61,2023,2022,0,.00000,.00000,2,.24000,.24000,19,D,.04250,.04250,200000,D,42000,D,0,D,0,D,0,D,0,D,0,D,3020,D,750,D,0,D,0,D,0,D,0,D,4800,D,40615,9147,40615,40183,9147,9053,40615,40183,15227,15636,0,0,0,0,0,0,0,0,0,0,0,0,246500,246500,220600,218800,0,0,9000,9000,0,0,237500,221202,0,0,0,0,0
05286304,1,67,66,2023,2022,2,.00000,.00000,2,.00000,.00000,33,D,.00000,.00000,0,D,0,D,0,D,3353,D,54356,D,0,D,0,D,7100,D,25,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3353,3353,0,0,0,0,2000,2000,16050,16050,0,0,0,0,0,0,0
05286334,1,53,54,2023,2022,0,.00000,.00000,2,.37000,.37000,05,D,.09300,.10300,308789,D,308789,D,0,D,0,D,0,D,0,D,0,D,18097,D,500,D,0,D,0,D,0,D,0,D,400,D,191491,59850,191491,190825,59850,58999,191491,190825,27183,28001,0,0,0,0,0,0,0,0,0,0,0,0,720337,720337,694437,692637,0,0,0,0,10404,10404,709933,662307,0,0,0,0,0
05286344,1,40,41,2023,2022,4,.00000,.00000,2,.21060,.21060,05,D,.00000,.00000,36700,D,0,D,0,D,0,D,0,D,0,D,16800,D,0,D,622,D,0,D,1,D,2,D,3,D,3360,D,-7736,0,-7736,-8819,0,0,1080,900,2808,2808,16800,16800,0,0,1080,900,3000,3200,0,0,4736,5619,36700,36700,10800,9000,0,0,0,0,10404,10404,26296,23870,0,0,0,0,0
05286374,1,66,66,2023,2022,0,.00000,.00000,2,.12000,.12000,01,D,.04360,.04400,62000,D,0,D,0,D,10000,D,15728,D,0,D,0,D,270,D,50,D,0,D,0,D,0,D,0,D,2712,D,6389,2801,6389,6173,2801,2756,6389,6173,4743,4743,0,0,0,0,0,0,0,0,0,0,0,0,85369,85369,56669,54869,0,0,3000,3000,5000,5000,57611,53066,0,0,0,0,0
05286424,1,78,76,2023,2022,0,.00000,.00000,2,.22200,.22200,22,D,.03950,.03970,0,D,0,D,0,D,54372,D,45016,D,0,D,0,D,6000,D,129,D,0,D,0,D,0,D,0,D,1200,D,6763,1903,6763,6547,1903,1871,6763,6547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88485,88485,59785,57985,0,0,10200,10200,0,0,44261,40660,0,0,0,0,0
05286444,1,65,0,2023,2022,0,.00000,.00000,1,.22000,.22000,26,D,.05150,.05180,0,D,0,D,0,D,29604,D,20072,D,0,D,0,D,1900,D,2463,D,0,D,0,D,0,D,0,D,1604,D,7094,853,7094,6896,853,736,7094,6896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66866,66866,52166,51266,0,0,17061,15933,14700,14569,33101,30010,719,721,0,0,0
05286504,1,66,0,2023,2022,0,.00000,.00000,1,.18000,.18000,10,D,.00000,.00000,0,D,0,D,18000,D,0,D,8036,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1452,0,1452,1344,0,0,1452,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28509,28509,13809,12909,0,0,0,0,0,0,0,0,0,0,0,0,0
05286514,1,41,40,2023,2022,3,.00000,.00000,2,.33060,.33060,34,D,.05360,.05360,39858,D,14200,D,0,D,0,D,0,D,0,D,0,D,5500,D,130,D,0,D,1,D,3,D,3,D,480,D,-4377,911,-4377,-5475,911,778,2704,2488,4135,4135,0,0,0,0,2704,2488,3296,3512,0,0,1081,1963,51858,51858,25958,24158,0,0,0,0,25500,25500,18247,14562,0,0,0,0,0
05286544,1,79,0,2023,2022,0,.00000,.00000,1,.00000,.00000,36,D,.00000,.00000,0,D,0,D,0,D,212,D,16580,D,0,D,4344,D,0,D,0,D,0,D,0,D,0,D,0,D,4,D,0,0,0,0,0,0,0,0,0,0,4344,4344,0,0,0,0,0,0,0,0,0,0,212,212,0,0,0,0,2400,2400,0,0,0,0,0,0,0,0,0
05286634,1,68,0,2023,2022,0,.00000,.00000,1,.00000,.00000,24,D,-.0466,-.0375,0,D,0,D,0,D,6992,D,20720,D,0,D,0,D,2600,D,259,D,0,D,0,D,0,D,0,D,420,D,0,-1651,0,0,-1651,-1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6992,6992,0,0,0,0,0,0,20738,20752,0,0,1651,1555,0,0,0
05286694,1,65,69,2023,2022,0,.00000,.00000,2,.00000,.15000,0,T,.00000,.00000,0,D,24087,D,0,D,0,D,25812,D,0,D,0,D,7500,D,0,D,0,D,0,D,0,D,0,D,876,D,152,0,152,0,0,0,152,0,1843,1843,0,0,0,0,0,0,0,0,0,0,0,0,30217,30217,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05286704,1,60,56,2023,2022,1,.00000,.00000,2,.24000,.24000,31,D,.06370,.06370,216432,D,0,D,0,D,0,D,0,D,0,D,0,D,4500,D,615,D,0,D,0,D,1,D,1,D,0,D,39195,9238,39195,38763,9238,8936,41195,40763,12252,12661,0,0,0,0,2000,2000,0,0,0,0,0,0,248916,248916,223016,221216,0,0,3500,3500,0,0,208432,194420,0,0,0,0,0
