ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,2,D,,A,,A,1,D,2,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05285324,1,D,,A,,A,,A,,A,HHP,5,1,8,,A,20234
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,80,D,D,1,,A,D,2,D,,A,05285354,2,D,,A,,A,,A,240,D,HHP,5,1,6,,A,20234
0,1,D,,A,,A,1,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,1,D,,A,05285384,2,D,,A,,A,,A,,A,HHP,5,1,7,,A,20234
0,2,D,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,360,D,D,1,,A,D,2,D,,A,05285434,2,D,,A,,A,,A,2340,D,HHP,5,1,5,,A,20234
0,1,D,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,60,D,D,1,,A,D,2,D,,A,05285494,2,D,,A,,A,,A,390,D,HHP,5,1,6,,A,20234
0,2,D,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,01,8,D,D,1,,A,D,1,D,,A,05285494,2,D,,A,,A,,A,104,D,HHP,5,1,7,,A,20234
0,,A,1,D,,A,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,4,D,D,1,,A,D,,A,,A,05285494,,A,,A,,A,,A,26,D,HHP,5,1,8,1,D,20234
0,,A,1,D,,A,1,D,2,D,,A,1,D,4,1,,1,D,D,A,D,02,3,D,D,1,,A,D,,A,,A,05285494,,A,,A,,A,,A,20,D,HHP,5,1,9,1,D,20234
0,2,D,1,D,,A,1,D,1,D,,A,1,D,2,2,,1,D,D,A,D,04,261,D,D,1,,A,D,2,D,1,D,05285504,2,D,2,D,,A,,A,783,D,HHP,5,1,18,,A,20234
0,2,D,1,D,,A,2,D,2,D,,A,1,D,2,1,,1,D,D,A,D,03,585,D,D,1,,A,D,,A,,A,05285544,1,D,,A,,A,,A,3510,D,HHP,5,1,5,,A,20234
0,,A,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,03,40,D,D,1,,A,D,,A,,A,05285584,,A,,A,,A,,A,240,D,HHP,5,1,9,1,D,20234
0,,A,1,D,,A,2,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,5,D,D,1,,A,D,,A,,A,05285584,,A,,A,,A,,A,15,D,HHP,5,1,10,4,D,20234
0,2,D,1,D,1,D,2,D,2,D,,A,1,D,3,1,,1,D,D,A,D,03,500,D,D,1,,A,D,1,D,,A,05285584,2,D,,A,,A,,A,3000,D,HHP,5,1,11,,A,20234
