QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20232,05124954,5,0,1,321,D,,A,,A,2,D,,A,12,,120,D,D
20232,05125324,5,0,1,200,D,,A,13,D,,A,,A,,,840,A,D
20232,05125324,6,0,1,365,D,,A,13,D,,A,,A,,,75,A,D
20232,05201603,8,0,1,302,D,,A,01,D,,A,,A,,,445,A,D
20232,05201603,9,0,1,310,D,,A,01,D,,A,,A,,,4377,A,D
20232,05201603,10,0,1,321,D,,A,,A,5,D,3197,D,,,3197,A,D
20232,05201603,11,0,1,365,D,,A,02,D,,A,,A,,,20,A,D
20232,05201603,12,0,1,303,D,,A,01,D,,A,,A,,,8093,A,D
20232,05201693,7,0,1,225,D,,A,13,D,,A,,A,,,5400,A,D
20232,05201873,9,0,1,100,D,2,D,13,D,,A,,A,,,300,A,D
20232,05201873,10,0,1,301,D,,A,13,D,,A,,A,,,2880,A,D
20232,05201933,4,0,1,303,D,,A,01,D,,A,,A,,1,5800,A,D
20232,05201933,5,0,1,365,D,,A,01,D,,A,,A,,1,1000,A,D
20232,05201933,6,0,2,303,D,,A,01,D,,A,,A,,,5900,A,D
20232,05201933,7,0,2,365,D,,A,01,D,,A,,A,,4,1000,A,D
20232,05202423,4,0,1,303,D,,A,01,D,,A,,A,,,200,A,D
20232,05202543,7,0,1,303,D,,A,01,D,,A,,A,,,4000,A,D
20232,05202543,8,0,1,365,D,,A,01,D,,A,,A,,,50,A,D
20232,05202613,5,0,1,100,D,1,D,13,D,,A,,A,,,300,A,D
20232,05202813,11,0,1,225,D,,A,13,D,,A,,A,,,3999,A,D
20232,05203053,8,0,1,303,D,,A,01,D,,A,,A,,1,1700,A,D
20232,05203333,4,0,1,301,D,,A,13,D,,A,,A,,,4200,A,D
20232,05203343,5,0,1,200,D,,A,13,D,,A,,A,,,5400,A,D
