QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20233,05280263,9,0,2,120,D,1,D,06,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05280463,1,0,1,380,D,1,D,07,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05280923,3,0,2,380,D,1,D,06,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05281223,2,0,2,380,D,1,D,06,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05281303,5,0,1,380,D,1,D,07,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05281303,6,0,1,380,D,1,D,08,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05282443,1,0,1,380,D,1,D,08,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05282443,2,0,2,380,D,2,D,06,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05282533,1,0,2,370,D,1,D,06,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05283393,2,0,1,370,D,1,D,06,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05283403,1,0,1,470,D,1,D,07,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05283583,6,0,1,370,D,1,D,06,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20233,05283663,4,0,1,380,D,1,D,07,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05283663,5,0,1,450,D,1,D,08,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05284083,1,0,1,120,D,1,D,07,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05284513,1,0,1,450,D,1,D,08,D,14,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05284723,5,0,1,370,D,1,D,08,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05285143,3,0,1,380,D,1,D,06,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05285233,1,0,1,380,D,1,D,06,D,9600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05285623,8,0,1,450,D,1,D,08,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05285723,4,0,1,470,D,1,D,07,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05285843,7,0,1,470,D,1,D,08,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05286043,3,0,1,120,D,1,D,08,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05286043,4,0,1,450,D,1,D,08,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05286193,3,0,1,370,D,1,D,06,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05286422,6,0,1,370,D,1,D,06,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05286422,7,0,1,470,D,1,D,05,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05286422,8,0,1,460,D,1,D,06,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05287022,4,0,1,470,D,1,D,06,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05287112,1,0,1,120,D,1,D,05,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05287202,3,0,1,480,D,1,D,04,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05287202,4,0,1,480,D,1,D,04,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05287312,2,0,1,380,D,1,D,05,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20233,05287312,3,0,1,480,D,1,D,06,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05287522,7,0,1,470,D,1,D,06,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05287702,2,0,1,450,D,1,D,05,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05287772,1,0,1,380,D,1,D,05,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05287772,2,0,2,470,D,1,D,04,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05288262,7,0,1,470,D,1,D,05,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05288262,8,0,1,470,D,1,D,06,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05288522,1,0,1,470,D,1,D,04,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05289122,1,0,1,460,D,1,D,05,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05289212,2,0,2,380,D,1,D,04,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05289492,1,0,1,120,D,1,D,06,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05289942,2,0,1,370,D,1,D,05,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05290164,1,0,1,450,D,1,D,06,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05290532,4,0,1,370,D,1,D,04,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20233,05290952,1,0,1,370,D,2,D,05,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
