QYEAR,NEWID,MEMBNO,SEQNO,ALCNO,REC_ORIG,PBTPD,PBTPD_,PBTDAYX,PBTDAYX_,JPBTAMTX,JPBT_MTX
20232,05203193,3,7,0,1,3,D,,A,135,D
20232,05203313,1,7,0,1,1,D,2,D,52,D
20232,05203863,2,12,0,1,3,D,,A,1200,D
20232,05204403,1,16,0,1,2,D,,A,130,D
20232,05204403,2,17,0,1,2,D,,A,130,D
20232,05205513,1,42,0,1,7,D,,A,130,D
20232,05205513,2,43,0,1,7,D,,A,130,D
20232,05205783,1,35,0,1,7,D,,A,10,D
20232,05205783,2,36,0,1,7,D,,A,10,D
20232,05206073,3,25,0,1,4,D,,A,20,D
20232,05206073,4,26,0,1,4,D,,A,20,D
20232,05206423,1,6,0,1,3,D,,A,9,D
20232,05206663,4,24,0,1,3,D,,A,600,D
20232,05206833,1,18,0,1,3,D,,A,240,D
20232,05206883,1,8,0,1,2,D,,A,78,D
20232,05206903,1,17,0,1,1,D,5,D,195,D
20232,05207133,1,23,0,1,4,D,,A,33,D
20232,05207183,1,43,0,1,7,D,,A,14,D
20232,05208173,1,50,0,1,7,D,,A,28,D
20232,05208173,31,51,0,1,,A,,A,137,F
20232,05208313,2,48,0,1,2,D,,A,260,D
20232,05208663,1,7,0,1,1,D,3,D,195,D
20232,05209453,1,28,0,1,7,D,,A,100,D
20232,05209823,1,16,0,1,3,D,,A,210,D
20232,05210813,1,6,0,1,2,D,,A,260,D
20232,05211213,1,12,0,1,3,D,,A,60,D
20232,05212453,1,46,0,1,7,D,,A,38,D
20232,05212593,1,10,0,1,2,D,,A,260,D
20232,05214073,1,15,0,1,2,D,,A,325,D
20232,05214223,1,25,0,1,3,D,,A,90,D
20232,05214513,1,27,0,1,4,D,,A,110,D
20232,05214513,2,28,0,1,4,D,,A,65,D
20232,05214913,1,11,0,1,3,D,,A,30,D
20232,05215023,1,22,0,1,6,D,,A,50,D
20232,05215363,1,10,0,1,4,D,,A,15,D
20232,05216423,1,9,0,1,3,D,,A,60,D
20232,05216473,1,30,0,1,3,D,,A,45,D
20232,05216713,1,25,0,1,7,D,,A,15,D
20232,05217483,1,63,0,1,7,D,,A,25,D
20232,05217713,1,25,0,1,3,D,,A,240,D
20232,05218063,1,52,0,1,1,D,2,D,390,D
20232,05218283,1,14,0,1,7,D,,A,30,D
20232,05218703,1,10,0,1,4,D,,A,10,D
20232,05218703,2,11,0,1,4,D,,A,10,D
20232,05218703,3,12,0,1,4,D,,A,10,D
20232,05218703,4,13,0,1,4,D,,A,10,D
20232,05218703,5,14,0,1,4,D,,A,10,D
20232,05218703,6,15,0,1,4,D,,A,10,D
20232,05218993,1,24,0,1,2,D,,A,520,D
20232,05218993,2,25,0,1,2,D,,A,1915,T
20232,05220243,2,28,0,1,3,D,,A,180,D
20232,05221003,1,6,0,1,2,D,,A,195,D
20232,05221003,2,7,0,1,2,D,,A,325,D
20232,05221523,1,20,0,1,3,D,,A,90,D
20232,05221613,1,27,0,1,7,D,,A,186,D
20232,05221873,1,6,0,1,3,D,,A,30,D
20232,05221973,1,32,0,1,7,D,,A,20,D
20232,05222163,1,13,0,1,1,D,5,D,910,D
20232,05222583,1,16,0,1,3,D,,A,60,D
20232,05222763,1,8,0,1,3,D,,A,300,D
20232,05222763,2,9,0,1,3,D,,A,300,D
20232,05222763,3,10,0,1,3,D,,A,300,D
20232,05224173,1,7,0,1,3,D,,A,66,D
20232,05224283,1,15,0,1,3,D,,A,60,D
20232,05224783,1,12,0,1,4,D,,A,150,D
20232,05224933,1,24,0,1,7,D,,A,14,D
20232,05225063,1,46,0,1,7,D,,A,100,D
20232,05225363,1,23,0,1,3,D,,A,6,D
20232,05225363,2,24,0,1,3,D,,A,24,D
20232,05225503,1,9,0,1,3,D,,A,168,D
20232,05225623,3,24,0,1,4,D,,A,20,D
20232,05226523,1,36,0,1,3,D,,A,198,D
20232,05226523,2,37,0,1,3,D,,A,198,D
20232,05226723,1,34,0,1,7,D,,A,20,D
20232,05226723,2,35,0,1,7,D,,A,20,D
20232,05226723,3,36,0,1,7,D,,A,20,D
20232,05227623,1,14,0,1,2,D,,A,65,D
20232,05227623,2,15,0,1,2,D,,A,65,D
20232,05227773,1,14,0,1,3,D,,A,75,D
20232,05228153,1,7,0,1,3,D,,A,240,D
20232,05228803,2,17,0,1,2,D,,A,195,D
20232,05229473,1,24,0,1,7,D,,A,5,D
20232,05229693,1,6,0,1,3,D,,A,6,D
20232,05229943,1,12,0,1,1,D,2,D,52,D
20232,05229963,1,30,0,1,3,D,,A,15,D
20232,05231023,1,11,0,1,3,D,,A,300,D
20232,05231153,1,18,0,1,3,D,,A,60,D
20232,05231153,2,19,0,1,3,D,,A,60,D
20232,05231213,1,16,0,1,3,D,,A,42,D
20232,05231233,2,8,0,1,2,D,,A,520,D
20232,05231273,1,53,0,1,3,D,,A,1020,D
20232,05231273,4,54,0,1,3,D,,A,1020,D
20232,05232263,1,18,0,1,3,D,,A,660,D
20232,05232293,1,16,0,1,7,D,,A,3,D
20232,05232373,1,12,0,1,3,D,,A,150,D
20232,05232853,1,13,0,1,2,D,,A,520,D
20232,05233463,1,34,0,1,7,D,,A,210,D
20232,05233783,3,9,0,1,3,D,,A,48,D
20232,05233783,4,10,0,1,3,D,,A,48,D
20232,05234493,1,20,0,1,3,D,,A,300,D
20232,05234493,2,21,0,1,3,D,,A,60,D
20232,05234903,1,55,0,1,3,D,,A,60,D
20232,05234903,2,56,0,1,3,D,,A,150,D
20232,05235013,1,17,0,1,4,D,,A,60,D
20232,05235043,1,15,0,1,2,D,,A,273,D
20232,05235723,1,21,0,1,7,D,,A,100,D
20232,05235723,2,22,0,1,7,D,,A,100,D
20232,05235843,3,9,0,1,2,D,,A,390,D
20232,05235843,5,10,0,1,2,D,,A,390,D
20232,05236023,3,22,0,1,3,D,,A,900,D
20232,05251852,1,24,0,1,7,D,,A,7,D
20232,05251982,1,50,0,1,3,D,,A,60,D
20232,05252713,1,28,0,1,3,D,,A,360,D
20232,05253582,1,27,0,1,2,D,,A,585,D
20232,05254442,2,28,0,1,7,D,,A,30,D
20232,05254472,1,16,0,1,3,D,,A,150,D
20232,05254702,1,40,0,1,7,D,,A,20,D
20232,05254802,1,14,0,1,3,D,,A,81,D
20232,05254862,1,16,0,1,7,D,,A,60,D
20232,05255222,2,37,0,1,3,D,,A,330,D
20232,05255222,3,38,0,1,3,D,,A,330,D
20232,05255222,4,39,0,1,3,D,,A,330,D
20232,05256042,1,19,0,1,3,D,,A,15,D
20232,05257012,1,8,0,1,4,D,,A,20,D
20232,05257352,1,35,0,1,4,D,,A,4,D
20232,05257592,1,5,0,1,3,D,,A,60,D
20232,05257642,1,6,0,1,3,D,,A,72,D
20232,05257882,1,5,0,1,3,D,,A,300,D
20232,05258062,1,15,0,1,3,D,,A,48,D
20232,05259562,1,13,0,1,3,D,,A,21,D
20232,05260002,1,23,0,1,7,D,,A,71,D
20232,05260462,1,7,0,1,2,D,,A,130,D
20232,05260792,1,34,0,1,7,D,,A,28,D
20232,05260792,2,35,0,1,7,D,,A,28,D
20232,05261102,1,42,0,1,7,D,,A,80,D
20232,05261102,2,43,0,1,7,D,,A,80,D
20232,05261102,3,44,0,1,7,D,,A,80,D
20232,05261102,4,45,0,1,7,D,,A,80,D
20232,05261102,5,46,0,1,7,D,,A,80,D
20232,05261102,6,47,0,1,7,D,,A,80,D
20232,05261102,7,48,0,1,7,D,,A,7,D
20232,05261562,2,51,0,1,3,D,,A,30,D
20232,05261562,3,52,0,1,3,D,,A,45,D
20232,05261942,4,17,0,1,7,D,,A,180,D
20232,05263162,1,5,0,1,3,D,,A,51,D
20232,05263332,1,22,0,1,1,D,1,D,13,D
