QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20232,05091844,31,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,4900,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05091874,35,0,5,01,D,100,D,,A,3,D,,B,2007,D,,A,,A,,A,1400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05091874,37,0,5,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091874,38,0,5,04,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091874,39,0,5,05,D,400,D,,A,3,D,,B,2008,D,,A,,A,,A,1900,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05091874,40,0,5,06,D,300,D,,A,3,D,08,D,2022,D,280000,D,2000,D,5000,D,1500,D,2,D,,A,,A,,A,2,D,,A,2,D,,A,,A
20232,05092144,21,0,5,01,D,100,D,,A,1,D,,B,2009,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05092164,34,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,6000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092164,35,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092234,22,0,5,01,D,100,D,,A,1,D,10,D,2021,D,,A,,A,,A,1700,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092244,17,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,18329,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092274,15,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092274,16,0,5,02,D,300,D,,A,3,D,,B,2018,D,,A,,A,,A,2000,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05092324,12,0,1,01,D,100,D,,A,3,D,02,F,2011,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092404,36,0,5,01,D,100,D,,A,3,D,,B,2003,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092424,22,0,5,01,D,100,D,,A,3,D,,B,1991,D,,A,,A,,A,7000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092424,23,0,5,02,D,300,D,,A,3,D,,B,2017,D,,A,,A,,A,3500,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05092454,13,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092614,12,0,5,01,D,100,D,,A,3,D,,B,1996,D,,A,,A,,A,4100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092734,12,0,5,01,D,100,D,,A,3,D,,B,,C,,A,,A,,A,2200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092754,18,0,5,01,D,100,D,,A,1,D,,B,2018,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092764,16,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
