QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20233,05220554,33,0,5,01,D,100,D,.0609,F,40000,F,19,F,300,F,,B,,B,,B,,B,4,D,96,F,97,F,97,F,200,F,199,F,199,F,,A,10,F,2022,F,1,F,,A,39339,F,39243,F,39146,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05220914,19,0,5,01,D,100,D,.0600,D,198162,D,10,D,2156,T,,A,,A,,A,,A,0,D,1284,D,1290,D,1297,D,916,D,910,D,903,D,,A,05,D,2022,D,1,D,,A,183246,D,181962,D,180672,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05226054,21,0,5,01,D,100,D,.0670,D,22000,D,10,D,252,D,,A,,A,,A,,A,0,D,97,D,98,D,99,D,73,D,72,D,71,D,,A,10,D,2021,D,2,D,,A,19274,D,19129,D,18984,D,01,D,1,D,,A,,A,160,D,160,D,170,D,1,D,2,D
20233,05233484,27,0,5,01,D,100,D,.0600,D,60000,D,10,D,666,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,65,D,65,D,65,D,,A,08,D,2022,D,2,D,,A,60000,D,60000,D,60000,D,01,D,1,D,,A,,A,65,D,65,D,65,D,,A,2,D
20233,05234564,24,0,5,01,D,100,D,.0440,D,40000,D,15,D,1000,D,3,D,4,D,5,D,,A,696,D,210,D,211,D,212,D,94,D,93,D,92,D,,A,11,D,2016,D,1,D,,A,25614,D,25404,D,25193,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05254113,24,0,5,01,D,100,D,.0386,D,10000,F,5,F,184,F,,A,,A,,A,,A,0,D,169,F,170,F,170,F,15,F,14,F,14,F,,A,06,F,2020,F,1,F,,A,4554,F,4385,F,4215,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05255563,27,0,5,01,D,100,D,.0400,D,30000,D,15,D,250,D,,B,,B,,B,,B,28,D,124,D,125,D,125,D,88,D,87,D,87,D,,A,10,D,2022,D,1,D,,A,29262,D,29137,D,29013,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05259193,41,0,5,01,D,100,D,.0400,D,98300,D,15,D,885,D,,B,,B,,B,,B,158,D,406,D,407,D,409,D,321,D,320,D,318,D,,A,11,D,2022,D,1,D,,A,96290,D,95884,D,95477,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05264653,16,0,1,01,D,100,D,.0900,D,50000,D,15,D,507,D,,A,,A,5,D,,A,0,D,,A,,A,,A,,A,,A,,A,,A,03,D,2023,D,2,D,,A,49735,D,49601,D,49465,D,01,D,1,D,,A,,A,360,D,441,D,493,D,1,D,2,D
20233,05266353,37,0,5,01,D,100,D,.0529,D,130000,D,15,D,1157,D,,B,,B,,B,,B,109,D,624,D,627,D,629,D,212,D,211,D,210,D,,A,03,D,2018,D,1,D,,A,96223,D,95599,D,94973,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
