QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20232,05091404,14,0,1,620,D,1,D,13,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091464,14,0,1,420,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091464,15,0,1,420,D,1,D,03,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091484,11,0,1,620,D,1,D,13,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091504,9,0,1,410,D,1,D,13,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20232,05091504,10,0,1,420,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091504,11,0,1,620,D,1,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091544,16,0,1,420,D,1,D,13,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091544,17,0,1,510,D,1,D,03,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091544,18,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091584,9,0,1,330,D,1,D,01,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091584,10,0,1,330,D,1,D,02,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091584,11,0,1,330,D,1,D,03,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091584,12,0,1,330,D,2,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091584,13,0,1,330,D,2,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091584,14,0,1,330,D,2,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091584,15,0,1,510,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091584,16,0,1,510,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091584,17,0,1,510,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091584,18,0,1,620,D,1,D,13,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091764,10,0,1,620,D,1,D,01,D,85,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091784,8,0,1,200,D,1,D,01,D,7785,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091844,25,0,1,420,D,1,D,02,D,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091874,21,0,1,110,D,1,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091874,22,0,1,420,D,1,D,02,D,2325,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091874,23,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091874,24,0,1,620,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091874,25,0,2,200,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091874,26,0,2,200,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091894,12,0,1,200,D,1,D,02,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091964,13,0,1,420,D,2,D,03,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091964,14,0,1,620,D,1,D,01,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091964,15,0,1,620,D,2,D,01,D,19,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091974,8,0,1,655,D,1,D,02,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20232,05092144,14,0,1,200,D,1,D,02,D,279,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092144,15,0,1,620,D,1,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092164,27,0,1,510,D,1,D,02,D,452,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092234,14,0,1,530,D,1,D,01,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092234,15,0,1,530,D,1,D,02,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092234,16,0,1,530,D,1,D,03,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092234,17,0,1,530,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092234,18,0,1,530,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092234,19,0,1,530,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092234,20,0,1,620,D,1,D,13,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092264,18,0,1,120,D,1,D,03,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092274,12,0,1,900,D,1,D,13,D,,H,900,D,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092274,12,1,1,330,D,1,D,01,D,441,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092274,12,2,1,420,D,1,D,13,D,44,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092274,12,3,1,510,D,1,D,02,D,177,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092324,8,0,1,420,D,1,D,01,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092324,9,0,1,620,D,1,D,13,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092394,7,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092404,25,0,1,410,D,1,D,01,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05092404,26,0,1,410,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05092404,27,0,1,620,D,1,D,13,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092424,14,0,1,620,D,1,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092784,15,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092944,8,0,1,620,D,1,D,13,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,37,0,1,410,D,1,D,01,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05092964,38,0,1,410,D,1,D,01,D,161,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05092964,39,0,1,410,D,1,D,02,D,463,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05092964,40,0,1,410,D,1,D,03,D,931,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05092964,41,0,1,420,D,1,D,01,D,131,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,42,0,1,420,D,1,D,02,D,112,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,43,0,1,420,D,1,D,02,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,44,0,1,420,D,1,D,03,D,343,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,45,0,1,510,D,1,D,01,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,46,0,1,620,D,1,D,01,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,47,0,1,620,D,1,D,02,D,335,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,48,0,1,620,D,1,D,03,D,934,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093114,13,0,1,620,D,1,D,13,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093204,25,0,1,410,D,1,D,01,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20232,05093204,26,0,1,410,D,1,D,02,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
