QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20234,05264084,36,0,5,01,D,100,D,.0311,F,440000,F,30,F,2300,F,3,F,4,F,5,F,,A,419,F,828,F,830,F,832,F,1053,F,1051,F,1049,F,,A,02,F,2020,F,1,F,,A,406355,F,405527,F,404697,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05264164,26,0,5,01,D,100,D,.0296,D,595000,D,30,D,3650,D,3,D,4,D,,A,,A,1154,D,1080,D,1083,D,1086,D,1416,D,1413,D,1410,D,,A,12,D,2021,D,1,D,,A,573944,D,572864,D,571781,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05264174,17,0,5,01,D,100,D,.0743,D,75890,D,30,D,527,D,,A,,A,,A,,A,0,D,348,D,351,D,353,D,179,D,176,D,174,D,,A,03,D,1999,D,1,D,,A,28830,D,28482,D,28131,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05264264,14,0,5,01,D,100,D,.0525,D,79862,D,30,D,637,D,3,D,4,D,5,D,,A,196,D,121,D,122,D,122,D,320,D,319,D,319,D,,A,04,D,2018,D,1,D,,A,73113,D,72992,D,72870,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05264344,21,0,5,01,D,100,D,.0397,D,358988,D,15,D,3381,D,3,D,4,D,,A,,A,731,D,3097,T,3104,T,3052,T,953,D,948,D,942,D,,A,11,D,2019,D,1,D,,A,288158,D,286461,D,284759,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05264404,18,0,5,01,D,100,D,.0681,D,192923,D,30,D,1807,D,3,D,4,D,5,D,,A,548,D,166,D,167,D,168,D,1093,D,1092,D,1091,D,,A,06,D,2023,D,1,D,,A,192594,D,192428,D,192261,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05264624,11,0,5,01,D,100,D,.0296,D,150000,D,30,D,1100,D,3,D,4,D,,A,,A,471,D,275,D,275,D,276,D,354,D,354,D,353,D,,A,08,D,2021,D,1,D,,A,143604,D,143330,D,143054,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05264644,14,0,5,01,D,100,D,.0460,D,142399,D,30,D,1178,D,3,D,4,D,,A,,A,448,D,283,D,284,D,285,D,447,D,446,D,445,D,,A,04,D,2014,D,1,D,,A,116701,D,116419,D,116135,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05264654,20,0,5,01,D,100,D,.0475,D,137500,D,30,D,835,D,3,D,4,D,,A,,A,118,D,204,D,205,D,206,D,513,D,512,D,511,D,,A,02,D,2020,D,1,D,,A,129624,D,129420,D,129216,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05264734,21,0,5,01,D,100,D,.0475,D,32000,D,30,D,225,D,3,D,4,D,,A,,A,58,D,155,D,155,D,156,D,12,D,12,D,11,D,,A,04,D,1995,D,1,D,,A,3152,D,2997,D,2842,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05264834,17,0,5,01,D,100,D,.0806,F,62000,F,30,F,886,F,3,F,4,F,,A,,A,428,F,275,F,276,F,278,F,183,F,182,F,180,F,,A,02,F,2000,F,1,F,,A,27315,F,27041,F,26765,F,01,D,,C,,C,,C,,A,,A,,A,1,D,2,D,1,D
