QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_,TELPURCH
20232,05092424,30,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,250,D,250,D,250,D,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092424,31,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,250,D,250,D,250,D,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092454,20,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,120,D,120,D,,A,1,D,
20232,05092454,21,0,1,,A,,A,,A,1,D,2,D,,A,70,D,70,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092504,12,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,87,D,87,D,87,D,,A,1,D,
20232,05092614,20,0,1,,A,,A,2,D,2,D,2,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0,D,0,D,20,D,,A,1,D,
20232,05092704,7,0,1,,A,,A,,A,1,D,2,D,,A,120,D,120,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092734,18,0,1,0.01,D,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,285,D,285,D,285,D,,A,1,D,
20232,05092734,19,0,1,,A,,A,,A,1,D,1,D,,A,76,E,76,E,76,E,124,E,124,E,124,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05092754,24,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092764,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D,
20232,05092764,24,0,1,,A,,A,,A,1,D,2,D,,A,70,D,70,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092764,25,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,98,D,98,D,98,D,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092784,31,0,1,,A,1,D,,A,1,D,1,D,,A,77,E,77,E,78,E,135,E,133,E,132,E,75,E,77,E,77,E,,A,,A,,A,1,D,1,D,
20232,05092784,32,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,178,D,178,D,178,D,,A,1,D,
20232,05092804,30,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,400,D,280,D,315,D,,A,1,D,
20232,05092804,31,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,70,D,70,D,70,D,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092804,32,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,125,D,125,D,125,D,,A,,A,,A,,A,1,D,
20232,05092964,88,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,101,D,101,D,101,D,,A,1,D,
20232,05092964,89,0,1,,A,,A,,A,1,D,2,D,,A,78,D,78,D,78,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05093004,43,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,1,D,
20232,05093004,44,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05093064,19,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,121,D,121,D,121,D,,A,1,D,1
20232,05093064,20,0,1,,A,,A,,A,1,D,2,D,,A,85,D,85,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1
20232,05093114,26,0,1,,A,,A,2,D,1,D,2,D,,A,84,E,84,E,84,E,,A,,A,,A,,A,,A,,A,159,E,159,E,159,E,2,D,1,D,1
20232,05093204,68,0,1,0.10,D,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,180,D,180,D,180,D,,A,1,D,
20232,05093204,69,0,1,,A,,A,,A,1,D,2,D,,A,65,D,65,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05093204,70,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,26,D,26,D,26,D,,A,1,D,
20232,05093224,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,64,D,64,D,64,D,,A,1,D,
20232,05093224,22,0,1,,A,,A,,A,1,D,2,D,,A,30,D,30,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05093244,23,0,1,,A,,A,,A,1,D,2,D,,A,50,D,50,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05093244,24,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,60,D,60,D,,A,1,D,
20232,05093284,24,0,1,,A,,A,,A,1,D,1,D,,A,25,E,25,E,25,E,41,E,41,E,41,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05093284,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,65,D,65,D,65,D,,A,1,D,2
20232,05093344,12,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,75,D,75,D,75,D,,A,1,D,
20232,05093354,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,100,D,,A,1,D,
20232,05093354,22,0,1,,A,,A,,A,1,D,2,D,,A,92,D,92,D,92,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05093364,41,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,40,D,40,D,,A,1,D,
20232,05093364,42,0,1,,A,,A,,A,1,D,2,D,,A,104,D,104,D,104,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05093364,43,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,60,D,60,D,,A,1,D,
