consumer_unit_id,age_of_reference_person,education_level,region_code,income_range_code,total_annual_spending,spending_class
5224163,23,,Northeast,1.0,12557.0,Low
5224233,50,,South,1.0,36726.0,Medium
5224343,44,,South,2.0,75611.000001012,Medium
5224423,56,,Midwest,1.0,142502.5000010019,High
5224613,33,,South,1.0,8806.000000009,Low
5224643,52,,West,5.0,61791.9999999701,Medium
5224793,23,,South,1.0,15373.000000062,Low
5224933,62,,Northeast,1.0,197954.9999999811,High
5225003,59,,Northeast,3.0,75515.249999971,Medium
5225013,47,,South,1.0,125802.00000002,High
5225063,50,,West,1.0,296481.99999892,High
5225193,45,,Northeast,1.0,199948.000000002,High
5225213,65,,West,1.0,17650.0,Low
5225263,69,,Midwest,1.0,54332.99999899,Medium
5225583,55,,Midwest,1.0,150990.0000010111,High
5225743,78,,West,5.0,180041.500001109,High
5225803,47,,West,1.0,127063.000001009,High
5226033,32,,South,1.0,86931.499999011,Medium
5226053,32,,Northeast,3.0,67617.000000997,Medium
5226153,50,,South,4.0,511015.499989899,High
5226163,54,,South,1.0,9132.999999999,Low
5226303,32,,South,2.0,98655.000000998,Medium
5226383,42,,South,1.0,101089.000000011,Medium
5226423,62,,Midwest,4.0,218101.000000078,High
5226463,47,,South,1.0,105223.99999899999,Medium
5226763,55,,West,3.0,228625.4999990188,High
5226903,38,,West,1.0,269834.999998929,High
5226963,58,,Northeast,1.0,120980.0,High
5227593,36,,West,1.0,22253.75,Low
5227673,56,,West,1.0,38898.999999899,Medium
5227773,60,,Northeast,1.0,562011.24999018,High
5227953,42,,West,5.0,31856.000000029,Medium
5227993,35,,West,1.0,17424.0,Low
5228263,29,,South,1.0,9970.000000011,Low
5228293,46,,South,1.0,76753.69999897099,Medium
5228453,37,,South,1.0,154779.999999021,High
5228633,38,,West,1.0,309093.000000929,High
5228873,42,,South,1.0,70154.999999899,Medium
5229053,63,,Midwest,1.0,9002.99999999,Low
5229183,31,,Midwest,1.0,19218.999999988,Low
5229203,80,,South,5.0,70056.99999899999,Medium
5229263,26,,South,3.0,17727.000000011,Low
5229303,36,,Northeast,1.0,143722.00000102,High
5229453,45,,West,1.0,20536.9999999899,Low
5229503,35,,Midwest,1.0,98885.99999897099,Medium
5229533,49,,Midwest,1.0,60033.249999922,Medium
5229583,61,,South,5.0,134459.0,High
5229603,60,,West,1.0,353196.999999901,High
5230223,35,,Northeast,3.0,111843.000001001,Medium
5230323,53,,South,5.0,114379.999999002,Medium
5230613,42,,South,1.0,142994.999999021,High
5230683,58,,South,1.0,99487.999999901,Medium
5230753,70,,Northeast,1.0,10375.0000000099,Low
5230803,56,,South,1.0,40645.000000109,Medium
5230813,65,,Northeast,1.0,25132.99999998,Low
5231013,51,,West,5.0,247116.5000009719,High
5231023,32,,Midwest,1.0,20801.999999881,Low
5231043,42,,West,3.0,97210.9999989401,Medium
5231053,70,,West,1.0,182692.9999999211,High
5231153,33,,Northeast,5.0,115175.000000009,Medium
5231233,33,,West,1.0,36264.000000011,Medium
5231243,41,,Midwest,4.0,194502.9999989909,High
5231313,81,,South,1.0,265063.499999999,High
5231323,43,,South,2.0,11623.0000000011,Low
5231343,65,,South,1.0,83396.9999989879,Medium
5231413,47,,Northeast,1.0,24128.9999999111,Low
5231433,33,,South,1.0,55960.999999991,Medium
5231533,73,,Midwest,5.0,128743.000001001,High
5231693,56,,South,1.0,17334.999999983,Low
5232023,42,,South,1.0,281948.000001031,High
5232073,48,,South,1.0,7283.999999991,Low
5232093,37,,West,1.0,187152.00000091,High
5232163,35,,South,2.0,117835.999999,High
5232213,67,,Midwest,5.0,56865.000000021,Medium
5232223,53,,Midwest,1.0,74906.50000101,Medium
5232243,55,,West,3.0,546825.249990121,High
5232323,64,,West,1.0,344481.9999999,High
5232373,46,,West,1.0,10591.9999999911,Low
5232383,38,,Midwest,1.0,32594.499999991,Medium
5232713,72,,West,1.0,162663.9999999091,High
5232793,40,,South,1.0,212969.000000988,High
5233073,44,,Midwest,1.0,159375.249999899,High
5233083,32,,South,1.0,18287.0,Low
5233353,58,,West,1.0,82237.00000102901,Medium
5233423,45,,Midwest,1.0,80733.999999001,Medium
5233553,62,,Midwest,1.0,197341.999999011,High
5233693,59,,South,1.0,84274.99999902,Medium
5233723,40,,West,1.0,112569.99999901891,Medium
5233893,47,,Northeast,1.0,547383.9999998601,High
5233963,67,,South,4.0,103270.99999899899,Medium
5234193,42,,Midwest,1.0,112818.00000103201,Medium
5234223,55,,South,1.0,79897.749999892,Medium
5234273,31,,Midwest,1.0,193777.999999883,High
5234463,35,,Midwest,1.0,121639.00000097901,High
5234493,29,,Midwest,1.0,104894.999998999,Medium
5234543,26,,South,1.0,10639.999999989,Low
5234623,64,,South,1.0,17504.999999982,Low
5234653,63,,Midwest,1.0,157421.000000999,High
5234663,46,,South,1.0,12447.00000001,Low
5234673,33,,West,4.0,134456.000000992,High
5234903,47,,South,5.0,191475.9999999979,High
5235053,31,,Northeast,1.0,159057.000001,High
5235083,57,,Northeast,1.0,109351.500000969,Medium
5235263,25,,Midwest,1.0,162497.74999901,High
5235303,48,,Northeast,1.0,64798.000000981,Medium
5235373,69,,Midwest,5.0,88234.999999991,Medium
5235393,37,,West,1.0,14247.999999992,Low
5235454,61,,South,1.0,970649.9999989868,High
5235533,64,,Northeast,5.0,137396.000000012,High
5235543,64,,South,1.0,162599.000000999,High
5235583,63,,West,1.0,250497.000000011,High
5235613,32,,Midwest,1.0,72200.999998997,Medium
5235623,54,,Northeast,1.0,19950.999999912,Low
5235763,54,,South,1.0,226199.000000011,High
5235993,35,,South,1.0,113435.00000102,Medium
5236063,54,,Northeast,5.0,297464.9999990001,High
5236073,39,,West,5.0,182770.000000031,High
5236593,36,,Midwest,1.0,119742.00000091201,High
5236653,66,,West,1.0,321226.00000001,High
5251762,34,,Midwest,1.0,195553.99999999302,High
5251902,26,,South,1.0,6706.0,Low
5251982,63,,West,5.0,686310.9999999912,High
5252032,59,,West,1.0,59933.000000009,Medium
5252042,38,,South,1.0,19593.0000000071,Low
5252102,42,,South,1.0,18674.999999989,Low
5252252,39,,South,1.0,43740.999998981,Medium
5252392,53,,Northeast,1.0,214371.999999798,High
5252442,41,,South,1.0,61110.99999993,Medium
5252602,57,,South,1.0,167307.999999021,High
5252742,59,,South,5.0,66380.4999989711,Medium
5252822,66,,South,1.0,133049.39999900002,High
5252902,68,,South,1.0,81606.000001021,Medium
5253172,70,,South,4.0,81943.0000010099,Medium
5253232,33,,West,1.0,529060.9999900099,High
5253452,36,,Northeast,1.0,345175.250000099,High
5253492,81,,South,1.0,62413.999998999,Medium
5253532,34,,West,1.0,99523.00000100791,Medium
5253612,68,,West,1.0,191085.00000001,High
5253662,50,,South,1.0,134639.00000004,High
5253682,40,,Northeast,1.0,312490.99999891093,High
5253882,36,,South,1.0,11873.00000001,Low
5254012,53,,West,5.0,254731.999999959,High
5254022,42,,Midwest,3.0,188514.00000092,High
5254112,62,,Midwest,5.0,135983.0000000002,High
5254152,29,,West,1.0,25353.000000001,Low
5254202,46,,Midwest,5.0,105615.00000102,Medium
5254252,33,,Northeast,1.0,45401.999999887994,Medium
5254292,44,,South,1.0,249898.00000003,High
5254402,33,,Midwest,1.0,23491.999999991,Low
5254412,53,,West,5.0,332158.999999899,High
5254442,64,,Northeast,4.0,171276.74999899202,High
5254462,52,,South,1.0,341668.00000001,High
5254512,37,,West,1.0,15998.99999999,Low
5254552,34,,South,4.0,146706.000000989,High
5254653,36,,West,1.0,96839.49999999,Medium
5254702,39,,Northeast,1.0,361086.5000010881,High
5254712,25,,West,1.0,7404.0000000014,Low
5254742,75,,Northeast,4.0,330754.00000001,High
5254882,30,,Midwest,3.0,178602.000001001,High
5254912,61,,West,5.0,274551.999999,High
5255032,66,,South,1.0,86678.00000099001,Medium
5255102,38,,Northeast,1.0,117895.999999,High
5255372,50,,South,1.0,169291.0000009801,High
5255462,74,,Northeast,1.0,64576.000000960106,Medium
5255492,28,,Midwest,1.0,77401.0000009991,Medium
5255552,37,,Midwest,1.0,84484.000000976,Medium
5255572,39,,Northeast,5.0,541655.499990099,High
5255802,35,,South,1.0,99965.99999899,Medium
5255882,50,,South,1.0,162412.00000101,High
5256022,54,,South,1.0,544183.24998998,High
5256032,59,,West,1.0,179870.999999002,High
5256072,37,,South,1.0,91869.99999893,Medium
5256102,42,,Midwest,1.0,80401.999999018,Medium
5256142,80,,Midwest,1.0,149108.800000992,High
5256302,36,,South,1.0,142298.999999982,High
5256352,70,,South,1.0,201124.999999001,High
5256422,34,,West,1.0,206287.9999990181,High
5256522,26,,Midwest,1.0,62791.999999981,Medium
5256722,71,,Northeast,3.0,259605.249999101,High
5256752,51,,South,1.0,29238.9999999921,Low
5257162,54,,Midwest,5.0,295460.99999901,High
5257172,65,,Northeast,1.0,14321.999999992,Low
5257312,41,,Midwest,1.0,216099.750000871,High
5257392,60,,South,5.0,30433.50000008,Medium
5257622,56,,West,4.0,536266.9999899708,High
5257662,50,,Midwest,1.0,116239.00000098,Medium
5257762,43,,South,1.0,53818.999999989,Medium
5257942,50,,Midwest,1.0,262654.25000101,High
5258042,42,,Northeast,5.0,170618.9999990089,High
5258092,65,,Northeast,1.0,44989.000000012,Medium
5258172,33,,West,3.0,175335.00000096898,High
5258222,34,,South,4.0,126308.00000104199,High
5258662,64,,Midwest,1.0,120193.000000007,High
5258922,61,,West,1.0,161322.00000101898,High
5259012,65,,Northeast,1.0,351477.250000087,High
5259112,48,,Northeast,4.0,195114.00000097998,High
5259192,49,,West,1.0,227597.00000100798,High
5259252,26,,Midwest,1.0,18779.999999988,Low
5259392,56,,Northeast,3.0,231455.999998909,High
5259552,57,,Northeast,1.0,130843.000001021,High
5259622,64,,West,3.0,540705.6499900579,High
5259742,39,,Northeast,1.0,231224.49999918,High
5259822,57,,South,1.0,161529.49999898,High
5259872,51,,West,1.0,23621.99999991,Low
5259982,36,,Northeast,1.0,195186.000000943,High
5260022,64,,South,5.0,242740.000000119,High
5260192,59,,West,4.0,25661.99999983,Low
5260392,49,,Northeast,1.0,147108.999998899,High
5260402,47,,South,1.0,18628.99999999,Low
5260672,50,,South,1.0,-192513.00000098997,Low
5260922,55,,South,1.0,61282.0000000022,Medium
5261102,45,,Midwest,5.0,583826.7499900949,High
5261292,48,,Midwest,5.0,206336.99999898,High
5261352,53,,South,5.0,124840.000001021,High
5261682,43,,South,3.0,115492.00000002,Medium
5261692,35,,West,1.0,104292.000000981,Medium
5261742,48,,West,1.0,189025.000001001,High
5261772,32,,Midwest,1.0,119260.00000011,High
5261852,43,,West,1.0,228790.00000099,High
5261942,38,,Northeast,1.0,15206.00000001,Low
5262042,58,,West,1.0,560207.499990188,High
5262062,63,,Northeast,1.0,95455.0000010089,Medium
5262122,62,,Midwest,4.0,76044.00000107099,Medium
5262272,45,,South,1.0,8129.999999989,Low
5262322,58,,South,1.0,159252.999998998,High
5262342,27,,West,1.0,17009.999999989,Low
5262402,62,,West,1.0,300226.9999991291,High
5262432,54,,South,1.0,63466.99999899,Medium
5262442,41,,Midwest,1.0,26572.999999918102,Low
5262602,73,,Midwest,5.0,138090.250000999,High
5262672,60,,West,2.0,14971.200000001,Low
5263012,42,,South,1.0,232511.25000006,High
5263072,62,,West,1.0,174137.00000002098,High
5263242,38,,South,1.0,8784.000000001,Low
5263342,57,,West,1.0,265276.99999897013,High
5263382,37,,South,1.0,120169.999998978,High
5263392,37,,West,1.0,157806.00000101,High
5263442,55,,South,1.0,45633.999999021,Medium
5263562,59,,West,1.0,249630.000000002,High
5263572,41,,West,3.0,186752.99999905,High
5263602,35,,Midwest,2.0,88520.999999001,Medium
5263692,26,,West,1.0,16856.0000000001,Low
5263852,44,,South,1.0,63985.000001031,Medium
5263922,66,,Midwest,1.0,136453.9999991,High
5263982,65,,Northeast,1.0,228120.00000096997,High
5263992,57,,West,1.0,223083.000000012,High
5264162,54,,West,1.0,242630.999999011,High
5264342,58,,West,1.0,271440.49999899,High
5264472,47,,Midwest,1.0,38155.000000021,Medium
5264642,37,,Northeast,1.0,156350.00000098898,High
5264842,70,,Northeast,1.0,195913.2500000911,High
5264852,59,,West,1.0,236184.999998913,High
5264992,68,,South,1.0,300386.250001,High
5265262,32,,West,1.0,156192.250000979,High
5265362,31,,West,1.0,143353.0,High
5265492,40,,West,1.0,21817.3999999,Low
5265572,47,,South,1.0,56024.000000007996,Medium
5265662,52,,Midwest,1.0,90501.99999889,Medium
5265892,52,,West,1.0,201339.99999898,High
5265992,64,,South,5.0,86443.99999900299,Medium
5266002,45,,South,1.0,153840.249999,High
5266222,67,,Northeast,1.0,59599.999999979,Medium
5266262,21,,South,1.0,77994.499999011,Medium
5266352,66,,Northeast,5.0,244651.64999899102,High
5266372,42,,West,1.0,107595.999998972,Medium
5266402,65,,Northeast,1.0,157716.50000096898,High
5266412,70,,South,1.0,21578.9999999,Low
5266472,55,,South,1.0,120326.00000097,High
5266502,59,,South,1.0,64133.5000000099,Medium
5266562,58,,Northeast,1.0,106066.9999999989,Medium
5266672,53,,West,1.0,28214.00000001,Low
5266752,47,,Midwest,1.0,123674.750001081,High
5266812,39,,South,5.0,52679.999999893,Medium
5267212,41,,West,1.0,174993.0000000099,High
5267292,45,,South,1.0,197884.00000101788,High
5267332,87,,West,1.0,94703.399999009,Medium
5267522,38,,Midwest,3.0,161798.0000009751,High
5267542,61,,Midwest,4.0,204134.999999012,High
5267562,69,,Midwest,5.0,183258.50000003,High
5267602,42,,South,1.0,48210.499999908,Medium
5267742,47,,Northeast,1.0,166535.999998982,High
5267862,37,,West,1.0,158339.25000090888,High
5267912,53,,Midwest,1.0,63950.000001009,Medium
5267932,71,,Northeast,1.0,155059.250001017,High
5268032,42,,Midwest,1.0,94754.000000029,Medium
5268082,61,,South,1.0,93205.000000008,Medium
5268192,45,,Midwest,1.0,57337.5,Medium
5268262,43,,South,1.0,117719.75000098,High
5268322,37,,South,1.0,94422.00000097,Medium
5268412,37,,West,2.0,107888.75000101101,Medium
5268432,49,,West,1.0,180806.00000080088,High
5268532,52,,Midwest,4.0,73913.999998879,Medium
5268562,35,,South,5.0,147775.999999,High
5268752,31,,West,1.0,199539.999999922,High
5269112,27,,West,1.0,13534.0,Low
5269232,64,,West,1.0,192453.50000091208,High
5269262,40,,Midwest,1.0,14983.000000011,Low
5269372,54,,West,1.0,169781.4999999299,High
5269472,44,,West,2.0,1197582.24999898,High
5269502,55,,West,1.0,89165.999999001,Medium
5269572,46,,West,1.0,259669.99999999,High
5269622,47,,South,4.0,62289.50000001,Medium
5269662,58,,South,5.0,87239.0000000411,Medium
5269792,46,,West,3.0,23588.999999999,Low
5270082,67,,West,1.0,24700.00000001,Low
5270092,32,,South,2.0,106844.00000098,Medium
5270102,56,,Northeast,1.0,200123.000001001,High
5270352,60,,South,3.0,135217.6000000201,High
5270382,40,,West,1.0,15711.9999999991,Low
5270582,43,,Midwest,4.0,120257.999999019,High
5271042,48,,South,5.0,158936.00000001,High
5271052,40,,Northeast,5.0,293708.00000103,High
5271062,44,,Northeast,1.0,239862.250000133,High
5271172,57,,South,1.0,108714.00000088,Medium
5271332,39,,Northeast,1.0,143395.9999999702,High
5271372,45,,South,1.0,189355.000000989,High
5271712,38,,South,2.0,193015.00000099998,High
5271882,53,,South,1.0,115377.99999898911,Medium
5271912,37,,Midwest,1.0,237733.99999910902,High
5272012,57,,South,1.0,51343.999999928994,Medium
5272072,54,,West,1.0,292639.999999931,High
5272242,26,,Midwest,1.0,14055.9999999881,Low
5272342,34,,Midwest,1.0,94297.00000001989,Medium
5272522,50,,South,1.0,280194.0,High
5272782,32,,West,4.0,203314.99999898102,High
5272902,64,,Northeast,2.0,99070.000000999,Medium
5272912,48,,Northeast,1.0,252163.2500011211,High
5272962,59,,Midwest,1.0,143499.0000008991,High
5273012,53,,Northeast,1.0,150632.99999897002,High
5273042,53,,South,3.0,133552.00000003,High
5273132,47,,Midwest,1.0,206221.999999001,High
5273222,44,,West,1.0,215017.749999999,High
5273342,28,,South,3.0,137165.0,High
5273502,55,,South,1.0,188417.0000009909,High
5273612,66,,Midwest,1.0,91910.0000000001,Medium
5273712,30,,Midwest,1.0,97037.99999999,Medium
5273802,35,,West,1.0,513209.7999901,High
5273872,56,,Midwest,1.0,161153.999999021,High
5273912,38,,South,1.0,14989.000000001,Low
5273962,60,,West,2.0,151507.000000019,High
5273972,62,,Northeast,5.0,183560.4999999919,High
5274032,47,,South,1.0,121504.99999989,High
5274142,49,,Midwest,1.0,20817.00000009,Low
5274182,56,,South,1.0,97714.999999002,Medium
5274192,50,,Midwest,5.0,155795.00000112999,High
5274212,24,,South,1.0,21899.0000000099,Low
5274222,56,,Midwest,1.0,564761.249990072,High
5274252,46,,Midwest,2.0,235035.00000102,High
5274312,77,,Northeast,1.0,95616.999999971,Medium
5274452,63,,Midwest,5.0,65878.9999989998,Medium
5274542,52,,West,3.0,258482.99999997,High
5274632,56,,South,1.0,88919.999999002,Medium
5274722,59,,West,1.0,139138.499999919,High
5274752,29,,South,2.0,153696.000000008,High
5274902,57,,South,1.0,95013.999999001,Medium
5274922,54,,South,1.0,83431.99999889999,Medium
5275032,59,,West,1.0,14924.999999991,Low
5275152,27,,Northeast,1.0,52405.000000005,Medium
5275202,47,,West,1.0,265027.999999008,High
5275212,39,,West,1.0,10999.000000087,Low
5275382,52,,South,1.0,48091.999999901,Medium
5275392,26,,South,1.0,124616.49999998,High
5275422,31,,Midwest,1.0,70566.00000091,Medium
5275612,56,,South,5.0,96728.3999999919,Medium
5275692,42,,South,1.0,23336.9999999,Low
5275762,39,,South,1.0,9948.000000011,Low
5275852,36,,West,1.0,15895.0000001,Low
5275972,75,,South,1.0,137828.000000879,High
5275982,64,,Northeast,1.0,146597.00000090888,High
5276062,34,,West,1.0,11689.000000011,Low
5276082,51,,West,3.0,347669.499999911,High
5276142,27,,Midwest,4.0,17420.00000001,Low
5276162,44,,South,1.0,118537.79999899301,High
5276212,59,,Midwest,1.0,122911.99999899,High
5276242,52,,West,1.0,142875.999999001,High
5276262,64,,West,1.0,70187.250000001,Medium
5276442,43,,West,4.0,403823.00000099,High
5276522,30,,Northeast,1.0,25728.9999999701,Low
5276572,32,,West,1.0,150139.99999902002,High
5276582,49,,South,5.0,152886.250001111,High
5276672,44,,West,1.0,228502.999998969,High
5276762,51,,Midwest,1.0,88546.0000009771,Medium
5276862,65,,Northeast,1.0,269667.249999088,High
5276922,41,,West,1.0,18806.999999991,Low
5276942,68,,Northeast,1.0,233914.4000002091,High
5276992,34,,West,1.0,147048.00000099998,High
5277232,57,,Midwest,1.0,127294.99999908199,High
5277382,71,,Midwest,3.0,44223.000001012,Medium
5277422,49,,Midwest,1.0,60092.99999898,Medium
5277642,59,,Northeast,1.0,101647.9999999721,Medium
5277672,34,,South,1.0,101369.0,Medium
5277702,46,,South,1.0,156604.00000099998,High
5277832,40,,West,1.0,141691.99999990012,High
5277892,32,,South,3.0,34968.249999982,Medium
5278032,37,,South,1.0,131966.000000989,High
5278122,54,,South,1.0,612770.000000991,High
5278182,55,,Midwest,1.0,149656.999999939,High
5278192,50,,South,1.0,59557.500000012,Medium
5278222,65,,Northeast,1.0,60008.49999899,Medium
5278272,68,,Midwest,1.0,183571.999999989,High
5278312,33,,West,1.0,531441.49999018,High
5278342,54,,Midwest,1.0,301162.250001109,High
5278352,51,,West,1.0,250560.75000078,High
5278532,64,,West,1.0,88871.00000000901,Medium
5278542,34,,Midwest,1.0,23899.9999999999,Low
5278592,49,,West,1.0,299844.00000090897,High
5278672,32,,West,1.0,247995.249999099,High
5278702,49,,Northeast,1.0,103796.000000931,Medium
5278712,59,,Midwest,1.0,96445.74999999,Medium
5278902,57,,South,1.0,115157.4,Medium
5278952,49,,South,1.0,183393.999999999,High
5278992,38,,South,5.0,179481.00000101,High
5279032,47,,Midwest,1.0,179735.99999888902,High
5279052,42,,West,5.0,253185.400001021,High
5279072,38,,South,5.0,172783.99999902002,High
5279152,62,,Midwest,1.0,145558.99999903102,High
5279342,44,,West,1.0,475117.999999979,High
5279432,26,,South,1.0,75755.00000097,Medium
5279612,41,,Midwest,1.0,54884.59999902,Medium
5279662,50,,West,3.0,24544.000000001,Low
5279692,42,,Northeast,1.0,22809.0,Low
5279762,25,,South,4.0,76745.000000982,Medium
5279822,64,,West,1.0,161644.00000101,High
5279882,33,,West,1.0,234149.499999011,High
5279912,57,,Northeast,1.0,274169.00000101,High
5280182,54,,West,5.0,21136.99999999,Low
5280202,60,,Midwest,1.0,164906.99999999,High
5280232,41,,West,1.0,202031.199999998,High
5280262,39,,Northeast,4.0,144067.99999912002,High
5280342,61,,West,1.0,91764.00000001,Medium
5280522,68,,West,1.0,174370.65000103178,High
5280552,20,,West,1.0,27225.99999999,Low
5280582,38,,West,1.0,151551.99999889,High
5280662,45,,Midwest,1.0,150269.500000019,High
5280712,59,,Northeast,1.0,280723.0000009991,High
5280862,56,,Midwest,1.0,95043.00000091891,Medium
5280912,29,,South,1.0,21166.999999901,Low
5281172,74,,West,1.0,116450.750000998,High
5281222,27,,West,1.0,-188178.000000002,Low
5281332,31,,Midwest,5.0,32158.749999890002,Medium
5281342,31,,West,1.0,228091.00000099,High
5281432,60,,South,1.0,75105.99999999,Medium
5281442,75,,South,1.0,198620.499999032,High
5281522,75,,Northeast,1.0,286907.749999081,High
5281562,50,,South,2.0,99965.999999999,Medium
5281652,54,,South,1.0,83099.999998998,Medium
5281952,50,,West,1.0,139597.999998971,High
5282152,82,,West,1.0,522918.999990009,High
5282282,57,,South,1.0,36798.000000001004,Medium
5282322,67,,South,1.0,139813.0000010181,High
5282432,50,,West,1.0,17572.9999999,Low
5282492,68,,South,1.0,119962.00000102,High
5282512,28,,South,1.0,147971.00000099998,High
5282582,56,,Northeast,1.0,84202.000000089,Medium
5282902,58,,South,1.0,92782.00000001,Medium
5282982,44,,West,1.0,23354.999999908,Low
5282992,31,,South,1.0,57706.499999991,Medium
5283012,67,,Midwest,1.0,116094.00000097,Medium
5283052,49,,South,1.0,68382.00000102,Medium
5283102,46,,South,1.0,193640.999999999,High
5283122,51,,West,1.0,577808.499990199,High
5283142,39,,Midwest,2.0,138604.250000992,High
5283292,28,,South,1.0,76995.000000899,Medium
5283312,33,,West,1.0,30337.9999999,Medium
5283392,26,,South,1.0,86687.000000999,Medium
5283492,87,,Midwest,4.0,51769.999999002,Medium
5283572,40,,West,1.0,444087.399999,High
5283582,50,,West,1.0,167114.99999901,High
5283662,49,,West,1.0,131458.9999999901,High
5283682,57,,South,1.0,47503.999999991,Medium
5283892,65,,West,5.0,270097.250000879,High
5283912,57,,West,4.0,196368.000000001,High
5283922,59,,South,1.0,188773.000000111,High
5283952,32,,Northeast,3.0,133559.99999998,High
5284062,52,,South,1.0,9779.000000009,Low
5284222,58,,Midwest,1.0,125662.000000989,High
5284292,63,,West,1.0,95120.999999999,Medium
5284412,38,,South,1.0,158917.00000097998,High
5284562,38,,Northeast,1.0,141118.00000098898,High
5284572,44,,Northeast,1.0,149128.999999991,High
5284592,38,,Northeast,1.0,13759.999999999,Low
5284652,61,,West,4.0,192240.0000000099,High
5284712,38,,South,1.0,357464.499990203,High
5284984,69,,South,1.0,488976.000001001,High
5285032,42,,Midwest,1.0,34119.000000022,Medium
5285282,71,,South,1.0,116036.9999989911,Medium
5285322,56,,West,1.0,234430.500000989,High
5285492,54,,Midwest,1.0,151002.5000009912,High
5285542,59,,Northeast,1.0,204137.999999931,High
5285572,39,,South,2.0,97308.999999922,Medium
5285582,50,,Midwest,1.0,117278.9999990201,High
5285622,40,,Midwest,1.0,265151.250000088,High
5285742,61,,West,1.0,234531.00000099099,High
5285872,64,,South,1.0,11205.9999999988,Low
5285952,41,,Northeast,1.0,34000.999999877,Medium
5286042,34,,South,4.0,87434.5000009919,Medium
5286182,70,,Northeast,1.0,17191.000000021002,Low
5286192,58,,West,1.0,539319.999989999,High
5286202,37,,South,1.0,6285.0000000101,Low
5286331,50,,West,1.0,528115.499990191,High
5286401,29,,Midwest,1.0,94985.000000998,Medium
5286511,40,,South,2.0,123458.999998881,High
5286691,64,,Northeast,5.0,124607.99999900801,High
5286791,52,,West,1.0,234281.99999899202,High
5286871,57,,West,3.0,280484.999999023,High
5286951,59,,South,1.0,103040.499999001,Medium
5287021,77,,West,1.0,46609.499999811,Medium
5287051,23,,Northeast,3.0,50292.000000011,Medium
5287311,26,,Northeast,1.0,76611.000001002,Medium
5287521,55,,West,1.0,188019.000000021,High
5287631,63,,South,1.0,105969.000000117,Medium
5287671,65,,South,4.0,13920.600000012,Low
5287711,53,,Northeast,1.0,188841.999999952,High
5287751,35,,South,1.0,55314.500000982,Medium
5287771,76,,Midwest,1.0,195368.999999011,High
5287971,40,,West,1.0,18253.999999909,Low
5288001,35,,Northeast,1.0,13608.000000011,Low
5288111,38,,South,1.0,110575.4999999219,Medium
5288234,53,,Northeast,5.0,91237.00000001,Medium
5288251,58,,Midwest,1.0,47556.399999988,Medium
5288261,40,,South,5.0,24428.0,Low
5288331,43,,Midwest,1.0,27070.000000001,Low
5288471,47,,Northeast,1.0,17117.000000001,Low
5288541,40,,South,3.0,189519.000001121,High
5288561,36,,South,1.0,83704.99999899,Medium
5288661,51,,Midwest,1.0,15923.999999989,Low
5288671,34,,Northeast,1.0,20268.000000019,Low
5288891,43,,West,1.0,272099.999998921,High
5289041,76,,South,1.0,204437.9999999999,High
5289121,36,,Midwest,1.0,106391.999999001,Medium
5289151,42,,West,1.0,214962.999999968,High
5289201,35,,Midwest,1.0,557261.0,High
5289441,61,,Northeast,4.0,78954.999999999,Medium
5289561,39,,West,1.0,144491.0000000107,High
5289591,39,,South,1.0,245622.0000009811,High
5289691,78,,West,5.0,275537.99999896,High
5289741,44,,South,1.0,251376.250000902,High
5289771,25,,Midwest,1.0,12802.000000001,Low
5289891,40,,South,1.0,6980.0,Low
5289941,31,,Northeast,1.0,21631.000000011,Low
5290031,49,,South,1.0,107048.000000992,Medium
5290091,60,,West,1.0,563285.4999901899,High
5290231,55,,South,1.0,38320.24999992,Medium
5290251,80,,West,1.0,536080.2499901099,High
5290301,56,,South,1.0,22653.99999988,Low
5290361,57,,Midwest,1.0,106620.000001031,Medium
5290411,43,,South,1.0,252046.99999898,High
5290421,47,,West,1.0,238544.000000111,High
5290511,64,,Northeast,1.0,230777.00000111898,High
5290521,60,,Midwest,1.0,63853.999999998996,Medium
5290701,37,,Northeast,1.0,121709.150000119,High
5290741,62,,South,3.0,40386.00000002,Medium
5290761,45,,West,1.0,19285.00000001,Low
5290881,60,,Midwest,1.0,321355.99999899097,High
5290911,39,,Midwest,1.0,110207.24999999,Medium
5291071,43,,Midwest,1.0,193861.00000111098,High
5291091,49,,Northeast,4.0,241620.00000109,High
5291181,32,,Midwest,5.0,282449.999999967,High
5291231,55,,West,1.0,620824.4999900999,High
5291271,40,,South,2.0,203852.99999899202,High
5291291,59,,South,1.0,325147.2499991301,High
5291411,36,,Midwest,1.0,166003.0000010091,High
5291491,38,,West,5.0,165475.0000009299,High
5291541,34,,Midwest,1.0,154753.999999902,High
5291671,39,,West,1.0,172453.99999898212,High
5291691,32,,West,1.0,257537.0000010021,High
5291761,26,,West,2.0,16008.99999998,Low
5291911,61,,Northeast,1.0,119840.499999992,High
5291921,29,,Midwest,1.0,107632.0000010202,Medium
5291981,40,,West,1.0,34682.19999999,Medium
5292231,50,,Northeast,1.0,299579.74999893,High
5292241,25,,South,1.0,142373.249998988,High
5292251,67,,South,1.0,150555.000001001,High
5292311,61,,South,1.0,189661.000000971,High
5292381,33,,Northeast,3.0,177037.000000981,High
5292721,60,,South,1.0,103921.499999998,Medium
5292841,74,,Northeast,1.0,263746.999999019,High
5292941,43,,South,1.0,185436.9999998809,High
